link,price,title,photo_id,page_n,clothing_type
https://roe.shein.com/SHEIN-Floral-Print-High-Low-Hem-Cami-Top-p-10896342-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",SHEIN Floral Print High Low Hem Cami Top,tops_1_39,1,tops
https://roe.shein.com/Marble-Print-Button-Front-Blouse-p-10825873-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Marble Print Button Front Blouse,tops_1_40,1,tops
https://roe.shein.com/Color-Block-Mock-Neck-Rib-Knit-Tee-p-10729983-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",Color Block Mock Neck Rib Knit Tee,tops_1_41,1,tops
https://roe.shein.com/Frilled-Neck-Keyhole-Back-Blouse-p-10743661-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",Frilled Neck Keyhole Back Blouse,tops_1_42,1,tops
https://roe.shein.com/Polka-Dot-Butterfly-Sleeve-Blouse-p-10250873-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Polka Dot Butterfly Sleeve Blouse,tops_1_43,1,tops
https://roe.shein.com/Solid-Rib-knit-Tank-Top-p-10459279-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Solid Rib-knit Tank Top,tops_1_44,1,tops
https://roe.shein.com/Colorblock-Twist-Front-Cut-Out-Crop-Halter-Top-p-10876996-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Colorblock Twist Front Cut Out Crop Halter Top,tops_1_45,1,tops
https://roe.shein.com/Backless-Crop-Halter-Top-p-10653853-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",Backless Crop Halter Top,tops_1_46,1,tops
https://roe.shein.com/Graphic-Print-Button-Front-Shirt-p-10370261-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"11,00€",Graphic Print Button Front Shirt,tops_1_47,1,tops
https://roe.shein.com/Floral-Print-Puff-Sleeve-Knot-Side-Crop-Blouse-p-10755901-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Floral Print Puff Sleeve Knot Side Crop Blouse,tops_1_48,1,tops
https://roe.shein.com/SHEIN-Allover-Heart-Print-Asymmetrical-Crop-Top-p-10672683-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",SHEIN Allover Heart Print Asymmetrical Crop Top,tops_1_49,1,tops
https://roe.shein.com/SHEIN-PETITE-Solid-Square-Neck-Fitted-Tee-p-10470778-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",SHEIN PETITE Solid Square Neck Fitted Tee,tops_1_50,1,tops
