link,price,title,photo_id,page_n,clothing_type,title_lemmatized,topic
https://roe.shein.com/Twist-Backless-Solid-Tee-p-10805528-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",twist backless solid tee,tops_1_18,1,tops,"['twist', 'backless', 'solid', 'tee']",11
https://roe.shein.com/Swiss-Dot-Guipure-Lace-Detail-Contrast-Embroidered-Mesh-Blouse-p-10513405-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",swiss dot guipure lace detail contrast embroidered mesh blouse,tops_1_19,1,tops,"['swiss', 'dot', 'guipure', 'lace', 'detail', 'contrast', 'embroidered', 'mesh', 'blouse']",8
https://roe.shein.com/Solid-Dolman-Sleeve-Backless-Tee-p-10594025-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",solid dolman sleeve backless tee,tops_1_20,1,tops,"['solid', 'dolman', 'sleeve', 'backless', 'tee']",11
https://roe.shein.com/Scoop-Neck-Striped-Crop-Tee-p-10219659-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",scoop neck striped crop tee,tops_1_21,1,tops,"['scoop', 'neck', 'striped', 'crop', 'tee']",11
https://roe.shein.com/Guipure-Lace-Panel-Ruffle-Sleeve-Blouse-p-10536399-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",guipure lace panel ruffle sleeve blouse,tops_1_22,1,tops,"['guipure', 'lace', 'panel', 'ruffle', 'sleeve', 'blouse']",8
https://roe.shein.com/Criss-Cross-Back-Halter-Top-p-10279343-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",criss cross back halter top,tops_1_23,1,tops,"['criss', 'cross', 'back', 'halter', 'top']",0
https://roe.shein.com/Letter-Graphic-Tank-Top-p-10671357-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",letter graphic tank top,tops_1_24,1,tops,"['letter', 'graphic', 'tank', 'top']",0
https://roe.shein.com/Reflective-Expression-Print-Drop-Shoulder-Tee-p-10243352-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"9,00€",reflective expression print drop shoulder tee,tops_1_25,1,tops,"['reflective', 'expression', 'print', 'drop', 'shoulder', 'tee']",11
https://roe.shein.com/DAZY-Letter-Graphic-Crew-Neck-Tee-p-10466742-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"9,00€",dazy letter graphic crew neck tee,tops_1_26,1,tops,"['dazy', 'letter', 'graphic', 'crew', 'neck', 'tee']",11
https://roe.shein.com/SHEIN-SXY-Solid-One-Shoulder-Cut-Out-Rib-Knit-Crop-Top-p-10247720-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",shein sxy solid one shoulder cut out rib knit crop top,tops_1_27,1,tops,"['shein', 'sxy', 'solid', 'one', 'shoulder', 'cut', 'out', 'rib', 'knit', 'crop', 'top']",0
